Experiment Metadata
Parameter,Value,Unit
CsvSchemaVersion,2,
ExportedAtLocal,2026-08-29T21:19:28.4670325+03:00,
ExperimentId,a0d000b4-406f-41df-9f47-1bde84ec26fe,
RunLabel,G-N-01,
ExperimentStartedAtLocal,2026-08-29T21:09:24.5379783+03:00,
ProgramVersion,1.0.0+15f28c6deb778a6b35e1c057af9e08980d5f2085,
Material,Grain,
Recipe,Normal,
OperationMode,Auto,
TemperatureControlMode,PID,
TemperatureSetpoint,52,degC
PressureSetpoint,35,kPa
AutomaticFanSetpoint,70,%
RecipeTemperatureSetpoint,52,degC
RecipePressureSetpoint,35,kPa
RecipeFanSpeed,70,%
MaximumAllowedTemperature,60,degC
InitialWetMass,20,kg
DryMass,15,kg
InitialMoistureWetBasis,25,% wb
TargetMoistureWetBasis,13,% wb
DryingCoefficient,0.5,-
TemperaturePID_Kp,8.5,%/°C
TemperaturePID_Ki,1.2,%/(°C·s)
TemperaturePID_Kd,0.7,%·s/°C
TemperaturePID_DerivativeFilterTimeConstant,5,s
PressurePI_Kp,4,%/kPa
PressurePI_Ki,0.15,%/(kPa·s)
ModelStep,0.1,s
ControllerStep,0.1,s
TrendSampleInterval,1,s
SimulationSpeedAtStart,600,x
AmbientTemperature,20,degC
AmbientPressure,101.3,kPa
AmbientRelativeHumidity,50,%
DisturbanceCount,0,
DisturbanceType,None,
DisturbanceTime,NotApplicable,s

Process Data
SampleNumber,ElapsedTime_s,ProcessStage,StageElapsedTime_s,SimulationSpeedMultiplier,ChamberTemperatureMeasured_C,ChamberTemperatureModel_C,MaterialTemperatureMeasured_C,MaterialTemperatureModel_C,TemperatureSetpoint_C,PressureMeasured_kPa,PressureModel_kPa,PressureSetpoint_kPa,VacuumLevel_pct,MaterialMoisture_wb_pct,MaterialMoisture_db_kg_per_kg,EquilibriumMoisture_wb_pct,AirHumidity_pct,MoistureRatio,AirFlowRate_m3_per_h,DryingRate_wb_pct_per_min,EvaporationRate_kg_per_s,TotalEnergy_kWh,EvaporatedWater_kg,Efficiency_kg_per_kWh,WaterVaporPartialPressure_kPa,WaterVaporMass_kg,PumpedWaterVapor_kg,CondensedWater_kg,AmbientWaterVaporIngress_kg,WaterVaporMassBalanceResidual_kg,HeaterPower_pct,VacuumPumpPower_pct,VentValveOpening_pct,FanSpeed_pct,MoistureTargetReached,SafetyInterlockActive,IsCompleted
1,1,Preheating,0.9,600,20,20.0749062232,20,19.9947710497,52,101.3,101.3,101.3,0,24.9996096821,0.3333263944,8.0897973001,50.9804692873,0.999971836,140,0.0231053017,0.0001026892,0.0014861111,0.0001040842,0.0700379814,1.1976387774,0.0044251021,0,0,0,-0,100,0,0,70,false,false,false
2,2,Preheating,1.9,600,20,20.1496049206,20,19.9899259449,52,101.3,101.3,101.3,0,24.9992308216,0.3333196592,8.1856797622,51.9171153982,0.9999444991,140,0.0224298544,0.0000996862,0.0029722222,0.0002051121,0.0690096918,1.2252937011,0.00452613,0,0,0,-0,100,0,0,70,false,false,false
3,3,Preheating,2.9,600,20.1,20.2240974465,20,19.9854570667,52,101.3,101.3,101.3,0,24.9988629827,0.33331312,8.2776986729,52.8118247903,0.9999179576,140,0.0217799291,0.0000967967,0.0044583333,0.0003032,0.0680074809,1.2521655594,0.0046242179,0,0,0,-0,100,0,0,70,false,false,false
4,4,Preheating,3.9,600,20.2,20.298385136,20,19.9813571252,52,101.3,101.3,101.3,0,24.9985057521,0.3333067695,8.3660753966,53.6663847773,0.9998921819,140,0.0211542333,0.0000940151,0.0059444444,0.0003984582,0.067030348,1.2782835759,0.004719476,0,0,0,-0,100,0,0,70,false,false,false
5,5,Preheating,4.9,600,20.1,20.3724693053,20,19.9776191372,52,101.3,101.3,101.3,0,24.998158737,0.3333006006,8.4510128199,54.482490396,0.9998671435,140,0.0205515656,0.0000913358,0.0074305556,0.0004909914,0.0660773493,1.303675511,0.0048120093,0,0,0,-0,100,0,0,70,false,false,false
6,6,Preheating,5.9,600,20.3,20.4463512526,20,19.9742364057,52,101.3,101.3,101.3,0,24.9978215641,0.3332946067,8.5326974164,55.2617506417,0.9998428155,140,0.0199708073,0.000088754,0.0089166667,0.0005808994,0.0651475939,1.3283677646,0.0049019172,0,0,0,-0,100,0,0,70,false,false,false
7,7,Preheating,6.9,600,20.3,20.5200322586,20,19.971202501,52,101.3,101.3,101.3,0,24.9974938778,0.3332887815,8.611301025,56.0056941467,0.9998191721,140,0.0194109145,0.000086265,0.0104027778,0.0006682769,0.0642402392,1.352385468,0.0049892948,0,0,0,-0,100,0,0,70,false,false,false
8,8,Preheating,7.9,600,20.3,20.5935135875,20,19.9685112438,52,101.3,101.3,101.3,0,24.9971753394,0.333283119,8.6869823869,56.7157743673,0.999796189,140,0.0188709116,0.0000838644,0.0118888889,0.0007532145,0.0633544874,1.3757525682,0.0050742323,0,0,0,0,100,0,0,70,false,false,false
9,9,Preheating,8.9,600,20.5,20.666796487,20,19.9661566897,52,101.3,101.3,101.3,0,24.9968656259,0.3332776135,8.7598884821,57.3933743313,0.9997738428,140,0.0183498851,0.0000815482,0.013375,0.0008357982,0.0624895825,1.3984919045,0.005156816,0,0,0,0,100,0,0,70,false,false,false
10,10,Preheating,9.9,600,20.5,20.7398821892,20,19.9641331152,52,101.4,101.3,101.3,0,24.9965644289,0.3332722593,8.8301556954,58.0398109969,0.9997521113,140,0.0178469787,0.0000793126,0.0148611111,0.0009161103,0.0616448068,1.4206252782,0.0052371282,0,0,0,0,100,0,0,70,false,false,false
