Experiment Metadata
Parameter,Value,Unit
CsvSchemaVersion,2,
ExportedAtLocal,2026-08-29T21:21:28.9616717+03:00,
ExperimentId,5e0fd802-4284-4709-b796-bd80d5132cf4,
RunLabel,W-N-01,
ExperimentStartedAtLocal,2026-08-29T21:20:22.7835320+03:00,
ProgramVersion,1.0.0+15f28c6deb778a6b35e1c057af9e08980d5f2085,
Material,Wood,
Recipe,Normal,
OperationMode,Auto,
TemperatureControlMode,PID,
TemperatureSetpoint,60,degC
PressureSetpoint,30,kPa
AutomaticFanSetpoint,70,%
RecipeTemperatureSetpoint,60,degC
RecipePressureSetpoint,30,kPa
RecipeFanSpeed,70,%
MaximumAllowedTemperature,80,degC
InitialWetMass,15,kg
DryMass,7.5,kg
InitialMoistureWetBasis,50,% wb
TargetMoistureWetBasis,12,% wb
DryingCoefficient,0.3,-
TemperaturePID_Kp,8.5,%/°C
TemperaturePID_Ki,1.2,%/(°C·s)
TemperaturePID_Kd,0.7,%·s/°C
TemperaturePID_DerivativeFilterTimeConstant,5,s
PressurePI_Kp,4,%/kPa
PressurePI_Ki,0.15,%/(kPa·s)
ModelStep,0.1,s
ControllerStep,0.1,s
TrendSampleInterval,1,s
SimulationSpeedAtStart,600,x
AmbientTemperature,20,degC
AmbientPressure,101.3,kPa
AmbientRelativeHumidity,50,%
DisturbanceCount,0,
DisturbanceType,None,
DisturbanceTime,NotApplicable,s

Process Data
SampleNumber,ElapsedTime_s,ProcessStage,StageElapsedTime_s,SimulationSpeedMultiplier,ChamberTemperatureMeasured_C,ChamberTemperatureModel_C,MaterialTemperatureMeasured_C,MaterialTemperatureModel_C,TemperatureSetpoint_C,PressureMeasured_kPa,PressureModel_kPa,PressureSetpoint_kPa,VacuumLevel_pct,MaterialMoisture_wb_pct,MaterialMoisture_db_kg_per_kg,EquilibriumMoisture_wb_pct,AirHumidity_pct,MoistureRatio,AirFlowRate_m3_per_h,DryingRate_wb_pct_per_min,EvaporationRate_kg_per_s,TotalEnergy_kWh,EvaporatedWater_kg,Efficiency_kg_per_kWh,WaterVaporPartialPressure_kPa,WaterVaporMass_kg,PumpedWaterVapor_kg,CondensedWater_kg,AmbientWaterVaporIngress_kg,WaterVaporMassBalanceResidual_kg,HeaterPower_pct,VacuumPumpPower_pct,VentValveOpening_pct,FanSpeed_pct,MoistureTargetReached,SafetyInterlockActive,IsCompleted
1,1,Preheating,0.9,600,20,20.0749052978,20,19.9938119675,60,101.3,101.3,101.3,0,49.9996044603,0.9999841785,6.0783593773,51.1484070202,0.9999830998,140,0.0234163963,0.0001170801,0.0014861111,0.000118661,0.079846633,1.2015839202,0.0044396788,0,0,0,0,100,0,0,70,false,false,false
2,2,Preheating,1.9,600,20.1,20.1496010687,20,19.9880463473,60,101.3,101.3,101.3,0,49.9992204901,0.9999688201,6.1619597132,52.2467578987,0.9999666942,140,0.0227320635,0.0001136568,0.0029722222,0.0002338493,0.0786782761,1.2330732863,0.0045548672,0,0,0,0,100,0,0,70,false,false,false
3,3,Preheating,2.9,600,20.1,20.2240887545,20,19.982695565,60,101.3,101.3,101.3,0,49.9988477296,0.9999539102,6.2421125185,53.2969248583,0.9999507678,140,0.0220689819,0.0001103398,0.0044583333,0.0003456731,0.0775341632,1.2636665771,0.004666691,0,0,0,0,100,0,0,70,false,false,false
4,4,Preheating,3.9,600,20.2,20.2983697772,20,19.9777522662,60,101.3,101.3,101.3,0,49.9984858313,0.9999394351,6.3190081447,54.3007072145,0.9999353057,140,0.021426434,0.0001071257,0.0059444444,0.0004542369,0.0764136761,1.2933913212,0.0047752547,0,0,0,0,100,0,0,70,false,false,false
5,5,Preheating,4.9,600,20.2,20.3724455398,20,19.9732093081,60,101.3,101.3,101.3,0,49.9981344592,0.9999253812,6.3928214464,55.2598347246,0.9999202935,140,0.0208037339,0.0001040109,0.0074305556,0.0005596413,0.0753162189,1.322274129,0.0048806592,0,0,0,0,100,0,0,70,false,false,false
6,6,Preheating,5.9,600,20.2,20.4463174265,20,19.9690597499,60,101.3,101.3,101.3,0,49.9977932887,0.9999117354,6.4637135353,56.175970724,0.9999057174,140,0.0202002247,0.0001009922,0.0089166667,0.0006619842,0.0742412162,1.3503407326,0.004983002,0,0,0,0,100,0,0,70,false,false,false
7,7,Preheating,6.9,600,20.3,20.5199868034,20,19.9652968455,60,101.3,101.3,101.3,0,49.9974620056,0.9998984854,6.5318332825,57.0507150705,0.9998915639,140,0.0196152774,0.0000980664,0.0104027778,0.0007613597,0.0731881124,1.3776160232,0.0050823775,0,0,0,-0,100,0,0,70,false,false,false
8,8,Preheating,7.9,600,20.4,20.5934550186,20,19.9619140352,60,101.3,101.3,101.3,0,49.9971403062,0.9998856188,6.597318611,57.8856069149,0.9998778201,140,0.0190482882,0.0000952305,0.0118888889,0.0008578591,0.0721563704,1.4041240852,0.0051788769,0,0,0,0,100,0,0,70,false,false,false
9,9,Preheating,8.9,600,20.4,20.6667234031,20,19.958904939,60,101.3,101.3,101.3,0,49.9968278965,0.9998731239,6.6602976149,58.6821273118,0.9998644733,140,0.0184986779,0.0000924817,0.013375,0.0009515707,0.0711454704,1.4298882293,0.0052725885,0,0,0,-0,100,0,0,70,false,false,false
10,10,Preheating,9.9,600,20.4,20.7397932709,20,19.9562633495,60,101.3,101.3,101.3,0,49.9965244921,0.9998609893,6.7208895325,59.4417016857,0.9998515113,140,0.0179658895,0.000089817,0.0148611111,0.0010425799,0.0701549095,1.4549310226,0.0053635977,0,0,0,-0,100,0,0,70,false,false,false
