Experiment Metadata
Parameter,Value,Unit
CsvSchemaVersion,2,
ExportedAtLocal,2026-08-29T21:43:08.0506648+03:00,
ExperimentId,7b078495-7566-4a20-9b5b-b01d7ceaa002,
RunLabel,G-S-01,
ExperimentStartedAtLocal,2026-08-29T21:41:03.9834862+03:00,
ProgramVersion,1.0.0+15f28c6deb778a6b35e1c057af9e08980d5f2085,
Material,Grain,
Recipe,Soft,
OperationMode,Auto,
TemperatureControlMode,PID,
TemperatureSetpoint,45,degC
PressureSetpoint,50,kPa
AutomaticFanSetpoint,50,%
RecipeTemperatureSetpoint,45,degC
RecipePressureSetpoint,50,kPa
RecipeFanSpeed,50,%
MaximumAllowedTemperature,60,degC
InitialWetMass,20,kg
DryMass,15,kg
InitialMoistureWetBasis,25,% wb
TargetMoistureWetBasis,13,% wb
DryingCoefficient,0.5,-
TemperaturePID_Kp,8.5,%/°C
TemperaturePID_Ki,1.2,%/(°C·s)
TemperaturePID_Kd,0.7,%·s/°C
TemperaturePID_DerivativeFilterTimeConstant,5,s
PressurePI_Kp,4,%/kPa
PressurePI_Ki,0.15,%/(kPa·s)
ModelStep,0.1,s
ControllerStep,0.1,s
TrendSampleInterval,1,s
SimulationSpeedAtStart,600,x
AmbientTemperature,20,degC
AmbientPressure,101.3,kPa
AmbientRelativeHumidity,50,%
DisturbanceCount,0,
DisturbanceType,None,
DisturbanceTime,NotApplicable,s

Process Data
SampleNumber,ElapsedTime_s,ProcessStage,StageElapsedTime_s,SimulationSpeedMultiplier,ChamberTemperatureMeasured_C,ChamberTemperatureModel_C,MaterialTemperatureMeasured_C,MaterialTemperatureModel_C,TemperatureSetpoint_C,PressureMeasured_kPa,PressureModel_kPa,PressureSetpoint_kPa,VacuumLevel_pct,MaterialMoisture_wb_pct,MaterialMoisture_db_kg_per_kg,EquilibriumMoisture_wb_pct,AirHumidity_pct,MoistureRatio,AirFlowRate_m3_per_h,DryingRate_wb_pct_per_min,EvaporationRate_kg_per_s,TotalEnergy_kWh,EvaporatedWater_kg,Efficiency_kg_per_kWh,WaterVaporPartialPressure_kPa,WaterVaporMass_kg,PumpedWaterVapor_kg,CondensedWater_kg,AmbientWaterVaporIngress_kg,WaterVaporMassBalanceResidual_kg,HeaterPower_pct,VacuumPumpPower_pct,VentValveOpening_pct,FanSpeed_pct,MoistureTargetReached,SafetyInterlockActive,IsCompleted
1,1,Preheating,0.9,600,20,20.0749130597,20,19.9951520045,45,101.3,101.3,101.3,0,24.9996382394,0.3333269021,8.0833202298,50.892716106,0.9999738966,100,0.0214359839,0.0000952701,0.0014583333,0.000096469,0.0661501833,1.195577776,0.0044174869,0,0,0,0,100,0,0,50,false,false,false
2,2,Preheating,1.9,600,20,20.1496336423,20,19.9906458662,45,101.3,101.3,101.3,0,24.9992863353,0.3333206461,8.1725436517,51.7472261107,0.9999485047,100,0.0208541702,0.0000926834,0.0029166667,0.0001903088,0.0652487244,1.2212863212,0.0045113266,0,0,0,0,100,0,0,50,false,false,false
3,3,Preheating,2.9,600,20.1,20.2241628792,20,19.9864754485,45,101.3,101.3,101.3,0,24.9989439393,0.3333145592,8.2584230455,52.5650758567,0.999923799,100,0.0202927898,0.0000901876,0.004375,0.0002816122,0.0643685051,1.2463201977,0.0046026301,0,0,0,0,100,0,0,50,false,false,false
4,4,Preheating,3.9,600,20.2,20.2985018874,20,19.982634859,45,101.3,101.3,101.3,0,24.99861072,0.3333086355,8.3411368265,53.3477353876,0.9998997558,100,0.0197508806,0.0000877784,0.0058333333,0.0003704678,0.0635087678,1.2707028104,0.0046914857,0,0,0,0,100,0,0,50,false,false,false
5,5,Preheating,4.9,600,20.1,20.37265177,20,19.9791184342,45,101.3,101.3,101.3,0,24.998286361,0.3333028693,8.4208494889,54.0966038316,0.999876352,100,0.0192275436,0.0000854518,0.0072916667,0.00045696,0.0626687956,1.2944564738,0.0047779778,0,0,0,0,100,0,0,50,false,false,false
6,6,Preheating,5.9,600,20.3,20.4466136165,20,19.9759207253,45,101.3,101.3,101.3,0,24.9979705606,0.3332972554,8.4977130641,54.8130138682,0.999853566,100,0.0187219375,0.0000832041,0.00875,0.0005411692,0.0618479085,1.3176024832,0.004862187,0,0,0,0,100,0,0,50,false,false,false
7,7,Preheating,6.9,600,20.3,20.5203885031,20,19.9730364849,45,101.3,101.3,101.3,0,24.9976630306,0.3332917885,8.5718683884,55.4982358217,0.9998313769,100,0.0182332738,0.0000810317,0.0102083333,0.0006231724,0.0610454614,1.3401611795,0.0049441903,0,0,0,0,100,0,0,50,false,false,false
8,8,Preheating,7.9,600,20.3,20.5939774936,20,19.9704606551,45,101.3,101.3,101.3,0,24.9973634955,0.3332864638,8.6434462096,56.1534814233,0.9998097648,100,0.0177608123,0.0000789314,0.0116666667,0.0007030431,0.0602608411,1.3621520083,0.005024061,0,0,0,0,100,0,0,50,false,false,false
9,9,Preheating,8.9,600,20.5,20.6673816393,20,19.9681883565,45,101.3,101.3,101.3,0,24.9970716917,0.3332812766,8.7125681568,56.7799072755,0.9997887107,100,0.0173038571,0.0000769,0.013125,0.0007808517,0.0594934645,1.3835935741,0.0051018696,0,0,0,0,100,0,0,50,false,false,false
10,10,Preheating,9.9,600,20.5,20.7406019797,20,19.9662148781,45,101.4,101.3,101.3,0,24.9967873668,0.3332762223,8.7793475937,57.37861805,0.9997681964,100,0.016861753,0.0000749347,0.0145833333,0.0008566655,0.0587427763,1.4045036906,0.0051776833,0,0,0,0,100,0,0,50,false,false,false
11,11,Preheating,10.9,600,20.5,20.8136395426,20,19.964535668,45,101.3,101.3,101.3,0,24.996510279,0.3332712967,8.8438903718,57.9506694439,0.9997482044,100,0.0164338827,0.0000730327,0.0160416667,0.000930549,0.0580082473,1.4248994264,0.0052515668,0,0,0,0,100,0,0,50,false,false,false
12,12,Preheating,11.9,600,20.7,20.8864953447,20,19.9631463246,45,101.2,101.3,101.3,0.0987166831,24.9962401965,0.3332664957,8.9062954985,58.497070919,0.999728718,100,0.0160196633,0.0000711914,0.0175,0.001002564,0.0572893726,1.4447971474,0.0053235819,0,0,0,0,100,0,0,50,false,false,false
13,13,Preheating,12.9,600,20.8,20.9591703916,20,19.9620425887,45,101.3,101.3,101.3,0,24.9959768967,0.3332618153,8.9666557296,59.0187882438,0.9997097211,100,0.0156185444,0.0000694083,0.0189583333,0.00107277,0.05658567,1.4642125561,0.0053937878,0,0,0,0,100,0,0,50,false,false,false
14,14,Preheating,13.9,600,20.7,21.0316656784,19.9,19.9612203363,45,101.3,101.3,101.3,0,24.9957201663,0.3332572517,9.0250580988,59.5167458553,0.9996911982,100,0.0152300052,0.0000676812,0.0204166667,0.0011412239,0.055896679,1.4831607281,0.0054622417,0,0,0,0,100,0,0,50,false,false,false
15,15,Preheating,14.9,600,20.9,21.1039821898,20,19.9606755713,45,101.3,101.3,101.3,0,24.9954698001,0.3332528013,9.0815843907,59.9918290594,0.9996731347,100,0.0148535528,0.0000660078,0.021875,0.0012079803,0.0552219588,1.5016561457,0.0055289982,0,0,0,0,100,0,0,50,false,false,false
16,16,Preheating,15.9,600,20.9,21.1761209004,20,19.9604044194,45,101.3,101.3,101.3,0,24.9952256009,0.3332484605,9.1363115641,60.4448860802,0.9996555163,100,0.0144887201,0.0000643861,0.0233333333,0.001273092,0.0545610878,1.519712729,0.0055941099,0,0,0,0,100,0,0,50,false,false,false
17,17,Preheating,16.9,600,21.2,21.2480827749,19.9,19.9604031221,45,101.3,101.3,101.3,0,24.9949873792,0.333244226,9.1893121338,60.8767299751,0.9996383292,100,0.0141350638,0.0000628141,0.0247916667,0.0013366095,0.0539136621,1.5373438657,0.0056576274,0,0,0,0,100,0,0,50,false,false,false
18,18,Preheating,17.9,600,21.1,21.3198687686,20,19.9606680309,45,101.3,101.3,101.3,0,24.9947549527,0.3332400946,9.2406545137,61.2881404231,0.9996215603,100,0.0137921632,0.0000612899,0.02625,0.0013985815,0.0532792944,1.5545624376,0.0057195993,0,0,0,0,100,0,0,50,false,false,false
19,19,Preheating,18.9,600,21.2,21.3914798273,19.9,19.9611956023,45,101.3,101.3,101.3,0,24.9945281457,0.333236063,9.2904033269,61.6798654002,0.999605197,100,0.0134596185,0.0000598118,0.0277083333,0.0014590547,0.0526576136,1.5713808463,0.0057800726,0,0,0,0,100,0,0,50,false,false,false
20,20,Preheating,19.9,600,21.2,21.4629168877,20,19.9619823928,45,101.3,101.3,101.3,0,24.9943067891,0.3332321284,9.3386196868,62.0526227477,0.9995892269,100,0.0131370493,0.000058378,0.0291666667,0.0015180743,0.052048263,1.5878110371,0.0058390922,0,0,0,0,100,0,0,50,false,false,false
21,21,Preheating,20.9,600,21.4,21.5341808776,19.9,19.9630250544,45,101.3,101.3,101.3,0,24.9940907201,0.3332282877,9.3853614512,62.4071016445,0.9995736385,100,0.0128240938,0.000056987,0.030625,0.0015756838,0.0514509007,1.6038645209,0.0058967017,0,0,0,0,100,0,0,50,false,false,false
22,22,Preheating,21.9,600,21.4,21.6052727161,20,19.9643203304,45,101.3,101.3,101.3,0,24.9938797815,0.3332245383,9.4306834546,62.7439639892,0.9995584203,100,0.0125204073,0.0000556372,0.0320833333,0.0016319251,0.0508651975,1.619552395,0.0059529429,0,0,0,0,100,0,0,50,false,false,false
23,23,Preheating,22.9,600,21.5,21.6761933137,20,19.965865051,45,101.3,101.3,101.3,0,24.9936738221,0.3332208774,9.4746377187,63.063845699,0.9995435613,100,0.0122256612,0.0000543271,0.0335416667,0.0016868385,0.0502908373,1.6348853631,0.0060078563,0,0,0,0,100,0,0,50,false,false,false
24,24,Preheating,23.9,600,21.5,21.7469435727,20,19.96765613,45,101.3,101.3,101.3,0,24.9934726955,0.3332173025,9.5172736449,63.3673579328,0.9995290512,100,0.011939542,0.0000530554,0.035,0.0017404631,0.049727516,1.6498737527,0.0060614809,0,0,0,0,100,0,0,50,false,false,false
25,25,Preheating,24.9,600,21.6,21.8175243872,20,19.9696905607,45,101.3,101.3,101.3,0,24.9932762609,0.3332138109,9.5586381903,63.6550882418,0.9995148796,100,0.0116617505,0.0000518207,0.0364583333,0.0017928364,0.0491749406,1.6645275333,0.0061138542,0,0,0,0,100,0,0,50,false,false,false
26,26,Preheating,25.9,600,21.7,21.8879366433,20,19.9719654131,45,101.3,101.3,101.3,0,24.993084382,0.3332104003,9.598776029,63.9276016553,0.9995010367,100,0.0113920011,0.0000506218,0.0379166667,0.0018439948,0.0486328293,1.6788563321,0.0061650126,0,0,0,0,100,0,0,50,false,false,false
27,27,Preheating,26.9,600,21.7,21.9581812193,19.9,19.9744778304,45,101.3,101.3,101.3,0,24.9928969273,0.3332070684,9.6377296996,64.1854417044,0.9994875131,100,0.0111300206,0.0000494574,0.039375,0.0018939733,0.0481009102,1.6928694491,0.0062149912,0,0,0,0,100,0,0,50,false,false,false
28,28,Preheating,27.9,600,21.8,22.0282589858,20,19.9772250258,45,101.3,101.3,101.3,0,24.9927137698,0.3332038129,9.6755397413,64.4291313887,0.9994742996,100,0.0108755478,0.0000483264,0.0408333333,0.001942806,0.0475789216,1.706575872,0.0062638238,0,0,0,0,100,0,0,50,false,false,false
29,29,Preheating,28.9,600,21.9,22.098170806,20,19.9802042803,45,101.3,101.3,101.3,0,24.9925347867,0.3332006316,9.7122448191,64.6591740903,0.9994613872,100,0.010628333,0.0000472276,0.0422916667,0.0019905254,0.0470666109,1.7199842892,0.0063115433,0,0,0,0,100,0,0,50,false,false,false
30,30,Preheating,29.9,600,22,22.1679175358,20,19.9834129394,45,101.3,101.3,101.3,0,24.9923598591,0.3331975224,9.7478818381,64.8760544371,0.9994487676,100,0.0103881368,0.0000461601,0.04375,0.0020371634,0.0465637342,1.7331031032,0.0063581812,0,0,0,0,100,0,0,50,false,false,false
31,31,Preheating,30.9,600,22,22.2375000236,20,19.9868484109,45,101.3,101.3,101.3,0,24.9921888723,0.3331944833,9.7824860511,65.0802391209,0.9994364322,100,0.01015473,0.0000451227,0.0452083333,0.0020827505,0.0460700564,1.7459404422,0.0064037683,0,0,0,0,100,0,0,50,false,false,false
32,32,Preheating,31.9,600,22.1,22.306919111,20,19.9905081624,45,101.3,101.3,101.3,0,24.9920217151,0.3331915122,9.8160911558,65.2721776717,0.9994243732,100,0.009927893,0.0000441146,0.0466666667,0.0021273163,0.0455853503,1.758504172,0.0064483342,0,0,0,0,100,0,0,50,false,false,false
33,33,Preheating,32.9,600,22.1,22.3761756326,20,19.994389719,45,101.3,101.3,101.3,0,24.9918582799,0.3331886074,9.8487293861,65.4523031913,0.9994125828,100,0.0097074152,0.0000431347,0.048125,0.0021708897,0.0451093964,1.7708019063,0.0064919075,0,0,0,0,100,0,0,50,false,false,false
34,34,Preheating,33.9,600,22.3,22.4452704161,20,19.9984906613,45,101.3,101.3,101.3,0,24.9916984626,0.3331857668,9.8804315964,65.6210330493,0.9994010534,100,0.0094930945,0.0000421822,0.0495833333,0.0022134983,0.0446419826,1.7828410176,0.0065345161,0,0,0,0,100,0,0,50,false,false,false
35,35,Preheating,34.9,600,22.4,22.5142042826,20,20.0028086231,45,101.3,101.3,101.3,0,24.9915421624,0.3331829887,9.9112273399,65.7787695434,0.9993897778,100,0.009284737,0.0000412562,0.0510416667,0.002255169,0.0441829037,1.7946286466,0.0065761869,0,0,0,0,100,0,0,50,false,false,false
36,36,Preheating,35.9,600,22.4,22.5829780466,20,20.0073412896,45,101.3,101.3,101.3,0,24.9913892816,0.3331802715,9.9411449408,65.9259005264,0.9993787489,100,0.0090821562,0.0000403559,0.0525,0.002295928,0.0437319614,1.8061717114,0.0066169458,0,0,0,0,100,0,0,50,false,false,false
37,37,Preheating,36.9,600,22.5,22.6515925162,20,20.0120863957,45,101.3,101.3,101.3,0,24.9912397256,0.3331776133,9.970211562,66.0628000017,0.9993679599,100,0.0088851734,0.0000394804,0.0539583333,0.0023358003,0.0432889637,1.8174769165,0.0066568182,0,0,0,0,100,0,0,50,false,false,false
38,38,Preheating,37.9,600,22.4,22.720048493,20,20.0170417239,45,101.3,101.3,101.3,0,24.9910934027,0.3331750126,9.9984532683,66.1898286898,0.9993574042,100,0.0086936165,0.0000386291,0.0554166667,0.0023748106,0.0428537249,1.8285507608,0.0066958284,0,0,0,0,100,0,0,50,false,false,false
39,39,Preheating,38.9,600,22.6,22.7883467725,20,20.022205103,45,101.3,101.3,101.3,0,24.990950224,0.3331724678,10.0258950843,66.3073345666,0.9993470753,100,0.00850732,0.0000378012,0.056875,0.0024129824,0.042426065,1.839399546,0.0067340003,0,0,0,0,100,0,0,50,false,false,false
40,40,Preheating,39.9,600,22.6,22.8564881439,20.1,20.0275744059,45,101.3,101.3,101.3,0,24.9908101032,0.3331699774,10.0525610497,66.4156533758,0.9993369671,100,0.0083261249,0.0000369959,0.0583333333,0.0024503389,0.0420058097,1.8500293836,0.0067713567,0,0,0,0,100,0,0,50,false,false,false
41,41,Preheating,40.9,600,22.7,22.9244733907,20,20.033147549,45,101.3,101.3,101.3,0,24.9906729568,0.3331675398,10.0784742701,66.5151091173,0.9993270735,100,0.008149878,0.0000362127,0.0597916667,0.0024869023,0.0415927903,1.8604462025,0.0068079201,0,0,0,0,100,0,0,50,false,false,false
