Experiment Metadata
Parameter,Value,Unit
CsvSchemaVersion,2,
ExportedAtLocal,2026-08-29T21:43:44.7581883+03:00,
ExperimentId,20381e30-b1fb-406c-986d-967738505551,
RunLabel,G-H-01,
ExperimentStartedAtLocal,2026-08-29T21:43:13.8382411+03:00,
ProgramVersion,1.0.0+15f28c6deb778a6b35e1c057af9e08980d5f2085,
Material,Grain,
Recipe,Hard,
OperationMode,Auto,
TemperatureControlMode,PID,
TemperatureSetpoint,58,degC
PressureSetpoint,25,kPa
AutomaticFanSetpoint,90,%
RecipeTemperatureSetpoint,58,degC
RecipePressureSetpoint,25,kPa
RecipeFanSpeed,90,%
MaximumAllowedTemperature,60,degC
InitialWetMass,20,kg
DryMass,15,kg
InitialMoistureWetBasis,25,% wb
TargetMoistureWetBasis,13,% wb
DryingCoefficient,0.5,-
TemperaturePID_Kp,8.5,%/°C
TemperaturePID_Ki,1.2,%/(°C·s)
TemperaturePID_Kd,0.7,%·s/°C
TemperaturePID_DerivativeFilterTimeConstant,5,s
PressurePI_Kp,4,%/kPa
PressurePI_Ki,0.15,%/(kPa·s)
ModelStep,0.1,s
ControllerStep,0.1,s
TrendSampleInterval,1,s
SimulationSpeedAtStart,600,x
AmbientTemperature,20,degC
AmbientPressure,101.3,kPa
AmbientRelativeHumidity,50,%
DisturbanceCount,0,
DisturbanceType,None,
DisturbanceTime,NotApplicable,s

Process Data
SampleNumber,ElapsedTime_s,ProcessStage,StageElapsedTime_s,SimulationSpeedMultiplier,ChamberTemperatureMeasured_C,ChamberTemperatureModel_C,MaterialTemperatureMeasured_C,MaterialTemperatureModel_C,TemperatureSetpoint_C,PressureMeasured_kPa,PressureModel_kPa,PressureSetpoint_kPa,VacuumLevel_pct,MaterialMoisture_wb_pct,MaterialMoisture_db_kg_per_kg,EquilibriumMoisture_wb_pct,AirHumidity_pct,MoistureRatio,AirFlowRate_m3_per_h,DryingRate_wb_pct_per_min,EvaporationRate_kg_per_s,TotalEnergy_kWh,EvaporatedWater_kg,Efficiency_kg_per_kWh,WaterVaporPartialPressure_kPa,WaterVaporMass_kg,PumpedWaterVapor_kg,CondensedWater_kg,AmbientWaterVaporIngress_kg,WaterVaporMassBalanceResidual_kg,HeaterPower_pct,VacuumPumpPower_pct,VentValveOpening_pct,FanSpeed_pct,MoistureTargetReached,SafetyInterlockActive,IsCompleted
1,1,Preheating,0.9,600,20,20.074899325,20,19.9943909447,58,101.3,101.3,101.3,0,24.999581181,0.3333258877,8.096257833,51.0680501156,0.9999697795,180,0.0247679853,0.0001100787,0.0015138889,0.0001116844,0.0737732115,1.1996957235,0.0044327023,0,0,0,-0,100,0,0,90,false,false,false
2,2,Preheating,1.9,600,20,20.1495759542,20,19.9892094673,58,101.3,101.3,101.3,0,24.999175536,0.3333186764,8.198743503,52.086307933,0.9999405099,180,0.0239923245,0.0001066302,0.0030277778,0.0002198546,0.0726125423,1.2292846042,0.0045408725,0,0,0,0,100,0,0,90,false,false,false
3,3,Preheating,2.9,600,20.1,20.2240314893,19.9,19.9844462547,58,101.3,101.3,101.3,0,24.9987825288,0.3333116898,8.2968134471,53.0570455002,0.9999121525,180,0.0232480251,0.0001033212,0.0045416667,0.0003246537,0.0714833857,1.2579745991,0.0046456716,0,0,0,-0,100,0,0,90,false,false,false
4,4,Preheating,3.9,600,20.1,20.2982675065,20,19.9800924275,58,101.3,101.3,101.3,0,24.9984016524,0.3333049189,8.3907378437,53.9824074977,0.9998846707,180,0.0225333885,0.0001001441,0.0060555556,0.0004262169,0.0703844474,1.2858015977,0.0047472348,0,0,0,-0,100,0,0,90,false,false,false
5,5,Preheating,4.9,600,20.3,20.3722855575,20,19.9761395078,58,101.3,101.3,101.3,0,24.9980324271,0.3332983552,8.4807628743,54.8644206669,0.9998580298,180,0.0218468444,0.000097092,0.0075694444,0.0005246723,0.0693145123,1.3127995697,0.0048456902,0,0,0,-0,100,0,0,90,false,false,false
6,6,Preheating,5.9,600,20.1,20.4460871703,19.9,19.9725793913,58,101.3,101.3,101.3,0,24.997674398,0.3332919906,8.5671135706,55.7050023144,0.9998321971,180,0.0211869367,0.0000941583,0.0090833333,0.0006201413,0.0682724373,1.3390007076,0.0049411591,0,0,0,-0,100,0,0,90,false,false,false
7,7,Preheating,6.9,600,20.4,20.5196738506,20,19.9694043208,58,101.3,101.3,101.3,0,24.9973271338,0.3332858174,8.6499962404,56.5059680068,0.9998071412,180,0.0205523133,0.0000913371,0.0105972222,0.0007127389,0.0672571456,1.3644355549,0.0050337568,0,0,0,-0,100,0,0,90,false,false,false
8,8,Preheating,7.9,600,20.3,20.5930470821,20,19.9666068628,58,101.3,101.3,101.3,0,24.9969902248,0.3332798284,8.7296005482,57.2690385557,0.9997828328,180,0.0199417159,0.0000886227,0.0121111111,0.0008025745,0.0662676214,1.3891331224,0.0051235924,0,0,0,-0,100,0,0,90,false,false,false
9,9,Preheating,8.9,600,20.5,20.6662083275,19.9,19.9641798866,58,101.3,101.3,101.3,0,24.9966632813,0.3332740165,8.8061013074,57.9958463768,0.9997592436,180,0.0193539713,0.00008601,0.013625,0.0008897521,0.0653029047,1.4131209932,0.0052107699,0,0,0,-0,100,0,0,90,false,false,false
10,10,Preheating,9.9,600,20.6,20.7391590293,19.9,19.9621165444,58,101.3,101.3,101.3,0,24.9963459326,0.3332683753,8.8796600323,58.6879412942,0.9997363468,180,0.0187879839,0.000083494,0.0151388889,0.0009743705,0.0643620876,1.4364254185,0.0052953883,0,0,0,-0,100,0,0,90,false,false,false
